transaction_id,customer_id,amount,transaction_hour,is_new_device,device_age_days,location_change,distance_from_last_transaction,transactions_last_10min,failed_attempts,avg_customer_amount,amount_deviation,customer_account_age_days,payment_method,fraud,ml_score,behavioural_score,risk_score,risk_level,recommended_action,risk_reasons
TXN000036,10189,462.28,11,0,1262,0,34,3,0,682.25,0.68,1412,UPI,0,16.93,8,11.57,LOW,ALLOW,Elevated velocity
TXN000037,12734,203.8,2,0,978,0,67,1,0,366.67,0.55,1894,CARD,0,21.32,0,8.53,LOW,ALLOW,No major risk signals
TXN000038,10562,410.18,8,0,1276,0,68,1,0,189.95,2.15,915,NETBANKING,0,8.97,7,7.79,LOW,ALLOW,Above-normal amount
TXN000039,11899,351.07,2,0,372,1,523,2,0,396.78,0.88,439,CARD,0,7.74,15,12.1,LOW,ALLOW,Location change
TXN000040,11267,1572.48,1,0,637,0,67,1,1,1037.91,1.51,685,CARD,0,36.18,0,14.47,LOW,ALLOW,No major risk signals
TXN000041,12879,1769.75,5,0,1033,0,82,0,0,277.23,6.36,1643,NETBANKING,0,17.99,15,16.19,LOW,ALLOW,High amount deviation
TXN000042,11528,1042.35,23,0,1173,0,27,1,1,344.37,3.02,1340,WALLET,0,33.89,7,17.75,LOW,ALLOW,Above-normal amount
TXN000043,10646,305.4,5,0,577,0,86,5,0,235.32,1.29,937,CARD,0,49.36,20,31.75,LOW,ALLOW,High velocity
TXN000044,12068,4099.45,16,1,14,1,1357,0,0,768.11,5.33,425,NETBANKING,1,92.91,85,88.16,HIGH,MANUAL REVIEW,New device | Location change | High amount deviation | Large distance | New device + location change | New device + unusual amount | Location change + large distance
TXN000045,12888,630.32,7,0,419,0,91,2,0,951.36,0.66,1276,UPI,0,13.03,0,5.21,LOW,ALLOW,No major risk signals
TXN000046,12214,1499.61,0,0,963,0,10,0,0,535.16,2.8,1688,UPI,0,22.47,7,13.19,LOW,ALLOW,Above-normal amount
TXN000047,11297,936.29,7,0,318,1,283,1,1,149.19,6.23,146,CARD,0,3.94,30,19.58,LOW,ALLOW,Location change | High amount deviation
TXN000048,12435,1072.09,21,0,1000,0,85,1,1,572.28,1.87,1091,NETBANKING,0,32.51,0,13.0,LOW,ALLOW,No major risk signals
TXN000049,10600,1455.28,14,0,596,0,80,0,0,479.92,3.03,941,UPI,0,34.32,7,17.93,LOW,ALLOW,Above-normal amount
TXN000050,12363,496.9,17,0,564,0,23,2,0,380.58,1.3,1951,NETBANKING,0,20.43,0,8.17,LOW,ALLOW,No major risk signals
TXN000051,12061,2723.28,12,0,794,0,99,0,1,1573.87,1.73,790,UPI,1,73.57,0,29.43,LOW,ALLOW,No major risk signals
TXN000052,10241,234.49,7,1,3,0,85,1,1,407.06,0.57,178,WALLET,1,69.47,15,36.79,LOW,ALLOW,New device
TXN000053,12041,371.38,19,0,1153,1,1335,3,0,1083.8,0.34,629,UPI,1,97.93,43,64.97,MEDIUM,STEP-UP VERIFICATION,Location change | Elevated velocity | Large distance | Location change + large distance
TXN000054,12824,2693.41,17,0,1081,0,89,1,0,357.42,7.51,471,UPI,0,40.37,20,28.15,LOW,ALLOW,Extreme amount deviation
TXN000055,12612,1482.53,12,0,605,0,52,1,0,337.3,4.38,419,CARD,0,26.71,15,19.68,LOW,ALLOW,High amount deviation
TXN000056,12945,7780.16,13,0,845,0,82,3,0,376.56,20.61,1921,NETBANKING,0,9.46,28,20.58,LOW,ALLOW,Elevated velocity | Extreme amount deviation
TXN000057,11363,951.56,14,0,344,0,88,3,1,1806.73,0.53,1417,UPI,0,8.03,8,8.01,LOW,ALLOW,Elevated velocity
TXN000058,12139,3809.93,5,1,15,0,82,1,1,474.98,8.0,1478,CARD,1,98.77,45,66.51,MEDIUM,STEP-UP VERIFICATION,New device | Extreme amount deviation | New device + unusual amount
TXN000059,11390,185.15,0,0,840,0,94,0,0,1160.73,0.16,565,CARD,0,15.27,0,6.11,LOW,ALLOW,No major risk signals
TXN000060,11478,270.02,6,0,712,0,16,0,1,1077.06,0.25,482,UPI,0,27.67,0,11.07,LOW,ALLOW,No major risk signals
TXN000061,12556,1922.14,0,0,682,0,89,1,1,239.0,8.01,607,UPI,0,42.93,20,29.17,LOW,ALLOW,Extreme amount deviation
TXN000062,10775,204.52,14,0,584,0,43,1,0,700.73,0.29,807,UPI,0,23.7,0,9.48,LOW,ALLOW,No major risk signals
TXN000063,10034,759.18,5,0,1293,0,44,1,2,207.56,3.64,598,UPI,0,11.1,15,13.44,LOW,ALLOW,Repeated failed attempts | Above-normal amount
TXN000064,12253,2421.46,4,0,810,0,7,1,1,391.84,6.16,1275,NETBANKING,0,15.13,15,15.05,LOW,ALLOW,High amount deviation
TXN000065,11955,1374.71,11,0,533,0,63,3,2,562.05,2.44,233,NETBANKING,0,39.69,23,29.68,LOW,ALLOW,Elevated velocity | Repeated failed attempts | Above-normal amount
TXN000066,11585,906.35,2,0,1472,0,11,0,1,904.24,1.0,1966,UPI,1,1.82,0,0.73,LOW,ALLOW,No major risk signals
TXN000067,11021,612.93,21,0,760,0,63,1,0,310.09,1.97,835,NETBANKING,0,29.77,0,11.91,LOW,ALLOW,No major risk signals
TXN000068,12613,1066.24,19,0,434,0,25,0,1,877.3,1.21,1884,UPI,0,26.28,0,10.51,LOW,ALLOW,No major risk signals
TXN000069,11129,1466.54,13,0,741,1,644,0,0,408.47,3.58,1708,WALLET,0,29.04,22,24.82,LOW,ALLOW,Location change | Above-normal amount
TXN000070,11500,511.96,5,0,183,0,59,2,0,586.56,0.87,131,UPI,0,25.87,0,10.35,LOW,ALLOW,No major risk signals
TXN000071,10702,1231.48,3,0,1403,0,41,3,0,295.95,4.15,1541,WALLET,0,11.67,23,18.47,LOW,ALLOW,Elevated velocity | High amount deviation
TXN000072,12449,2245.46,14,1,15,0,32,1,3,281.34,7.95,1722,UPI,1,95.4,60,74.16,HIGH,MANUAL REVIEW,New device | Multiple failed attempts | Extreme amount deviation | New device + unusual amount
TXN000073,12777,743.15,16,0,1102,0,54,0,0,377.61,1.96,1732,CARD,0,23.37,0,9.35,LOW,ALLOW,No major risk signals
TXN000074,11579,951.37,4,0,1412,0,16,1,0,405.36,2.34,253,NETBANKING,0,9.2,7,7.88,LOW,ALLOW,Above-normal amount
TXN000075,10161,1354.53,23,1,1,0,68,1,0,796.9,1.7,230,NETBANKING,0,41.0,15,25.4,LOW,ALLOW,New device
TXN000076,10201,1434.59,5,0,1400,0,3,1,0,825.6,1.74,1168,UPI,0,9.96,0,3.98,LOW,ALLOW,No major risk signals
TXN000077,11981,1894.45,9,0,371,0,66,2,1,885.11,2.14,44,UPI,0,35.48,7,18.39,LOW,ALLOW,Above-normal amount
TXN000078,10995,379.09,8,0,810,0,64,1,1,1148.12,0.33,1200,CARD,0,24.67,0,9.87,LOW,ALLOW,No major risk signals
TXN000079,12317,572.73,3,0,452,0,71,1,1,2742.62,0.21,1295,UPI,0,7.83,0,3.13,LOW,ALLOW,No major risk signals
TXN000080,10815,591.05,8,1,8,0,18,0,1,397.96,1.48,1367,UPI,0,16.52,15,15.61,LOW,ALLOW,New device
TXN000081,10455,416.41,7,0,273,1,194,3,1,485.22,0.86,741,WALLET,0,33.28,23,27.11,LOW,ALLOW,Location change | Elevated velocity
TXN000082,11275,194.68,2,0,583,0,35,0,0,356.13,0.55,1098,CARD,0,22.9,0,9.16,LOW,ALLOW,No major risk signals
TXN000083,11016,56.47,21,1,15,0,51,4,0,383.48,0.15,1143,NETBANKING,1,4.59,23,15.64,LOW,ALLOW,New device | Elevated velocity
TXN000084,12343,2480.3,19,0,554,0,0,2,1,668.97,3.7,862,CARD,0,17.56,7,11.22,LOW,ALLOW,Above-normal amount
TXN000085,12767,239.65,0,0,745,0,80,1,0,345.68,0.69,420,CARD,0,25.33,0,10.13,LOW,ALLOW,No major risk signals
TXN000086,10337,3400.01,19,0,1347,1,412,3,1,591.12,5.74,991,CARD,0,28.96,38,34.38,LOW,ALLOW,Location change | Elevated velocity | High amount deviation
TXN000087,10878,1683.28,4,0,229,0,37,0,0,549.76,3.06,1428,WALLET,0,23.19,7,13.48,LOW,ALLOW,Above-normal amount
TXN000088,11076,635.98,2,0,1038,0,91,2,0,406.02,1.56,18,WALLET,0,15.3,0,6.12,LOW,ALLOW,No major risk signals
TXN000089,10791,1516.19,3,0,1371,0,13,2,0,244.67,6.17,915,WALLET,0,27.7,15,20.08,LOW,ALLOW,High amount deviation
TXN000090,12264,1288.67,22,1,1,0,44,2,0,219.97,5.83,1215,UPI,0,27.28,40,34.91,LOW,ALLOW,New device | High amount deviation | New device + unusual amount
TXN000091,10763,351.95,23,0,1346,0,21,0,2,1297.52,0.27,1076,UPI,0,12.49,8,9.8,LOW,ALLOW,Repeated failed attempts
TXN000092,12235,886.49,18,0,309,0,35,0,0,590.76,1.5,1665,CARD,0,19.57,0,7.83,LOW,ALLOW,No major risk signals
TXN000093,10379,390.39,14,0,1145,0,10,2,2,67.46,5.7,1339,CARD,0,5.29,23,15.92,LOW,ALLOW,Repeated failed attempts | High amount deviation
TXN000094,10492,1565.58,18,0,1117,0,81,0,0,1376.14,1.14,122,NETBANKING,1,74.04,0,29.62,LOW,ALLOW,No major risk signals
TXN000095,11180,488.85,15,0,1197,0,3,0,0,972.81,0.5,951,CARD,0,35.46,0,14.18,LOW,ALLOW,No major risk signals
TXN000096,12062,827.05,22,1,6,0,51,3,0,316.33,2.61,1352,UPI,0,15.24,30,24.09,LOW,ALLOW,New device | Elevated velocity | Above-normal amount
TXN000097,10064,797.25,7,0,1288,0,41,1,1,178.81,4.43,1466,UPI,0,11.11,15,13.45,LOW,ALLOW,High amount deviation
TXN000098,12568,995.6,13,0,1477,0,95,1,0,125.11,7.89,775,UPI,0,44.56,20,29.82,LOW,ALLOW,Extreme amount deviation
TXN000099,11367,3689.23,4,0,1367,0,78,2,0,498.72,7.38,240,UPI,0,16.39,20,18.55,LOW,ALLOW,Extreme amount deviation
TXN000100,11152,731.56,0,0,1022,0,94,5,0,360.57,2.02,1000,CARD,0,28.83,27,27.73,LOW,ALLOW,High velocity | Above-normal amount
TXN000101,12027,2528.14,18,0,1176,0,93,1,0,360.73,6.99,1513,UPI,0,33.18,15,22.27,LOW,ALLOW,High amount deviation
TXN000102,12695,1350.19,4,0,82,0,13,1,0,823.58,1.64,1448,WALLET,1,18.75,0,7.5,LOW,ALLOW,No major risk signals
TXN000103,11495,2997.82,2,0,1080,0,13,1,1,516.31,5.8,968,WALLET,0,25.06,15,19.03,LOW,ALLOW,High amount deviation
TXN000104,11162,673.39,16,0,403,0,46,2,2,750.11,0.9,1169,CARD,0,35.75,8,19.1,LOW,ALLOW,Repeated failed attempts
TXN000105,11522,1622.49,6,0,65,1,2057,1,0,665.19,2.44,521,UPI,0,42.12,47,45.05,MEDIUM,STEP-UP VERIFICATION,Location change | Above-normal amount | Very large distance | Location change + large distance
TXN000106,12640,853.74,16,0,993,0,80,1,1,66.53,12.64,689,UPI,0,12.44,20,16.97,LOW,ALLOW,Extreme amount deviation
TXN000107,10391,70.74,12,1,17,0,66,4,1,1033.4,0.07,965,NETBANKING,0,9.59,23,17.63,LOW,ALLOW,New device | Elevated velocity
TXN000108,11698,355.54,21,1,7,0,19,2,0,243.49,1.45,1724,CARD,0,10.64,15,13.26,LOW,ALLOW,New device
TXN000109,10418,1472.95,21,0,976,0,98,4,0,826.4,1.78,1934,CARD,0,33.43,8,18.17,LOW,ALLOW,Elevated velocity
TXN000110,12336,1392.46,13,1,3,0,29,3,0,1152.38,1.21,424,UPI,0,19.74,23,21.69,LOW,ALLOW,New device | Elevated velocity
TXN000111,10378,298.65,22,0,1241,0,53,1,1,909.12,0.33,1936,UPI,0,44.97,0,17.99,LOW,ALLOW,No major risk signals
TXN000112,11796,1082.81,11,0,747,1,2216,0,0,1559.75,0.69,1799,UPI,0,24.1,40,33.64,LOW,ALLOW,Location change | Very large distance | Location change + large distance
TXN000113,12278,1377.15,10,0,647,0,5,0,0,321.25,4.27,950,CARD,0,42.68,15,26.07,LOW,ALLOW,High amount deviation
TXN000114,12088,871.78,0,0,642,0,95,2,0,1244.68,0.7,56,CARD,0,7.63,0,3.05,LOW,ALLOW,No major risk signals
TXN000115,12182,1668.19,2,0,652,0,72,2,0,1769.61,0.94,1175,UPI,0,31.94,0,12.78,LOW,ALLOW,No major risk signals
TXN000116,10200,1485.75,11,0,483,0,96,0,0,963.07,1.54,1826,NETBANKING,0,28.64,0,11.46,LOW,ALLOW,No major risk signals
TXN000117,11863,871.42,8,0,208,0,66,1,0,327.8,2.65,1118,NETBANKING,0,37.33,7,19.13,LOW,ALLOW,Above-normal amount
TXN000118,10779,581.61,1,0,1067,1,2125,2,1,284.0,2.04,440,NETBANKING,0,17.89,47,35.36,LOW,ALLOW,Location change | Above-normal amount | Very large distance | Location change + large distance
TXN000119,12977,2178.0,13,0,712,0,95,3,0,323.5,6.71,102,CARD,0,14.84,23,19.74,LOW,ALLOW,Elevated velocity | High amount deviation
TXN000120,10502,1331.0,4,0,1312,0,55,2,0,426.64,3.11,1463,WALLET,0,27.36,7,15.14,LOW,ALLOW,Above-normal amount
TXN000121,12454,277.49,2,1,17,0,8,3,1,801.21,0.35,1462,UPI,0,6.07,23,16.23,LOW,ALLOW,New device | Elevated velocity
TXN000122,11751,1083.3,11,0,739,0,87,3,0,442.31,2.44,168,UPI,0,40.74,15,25.3,LOW,ALLOW,Elevated velocity | Above-normal amount
TXN000123,10804,337.52,11,0,1285,0,64,0,0,869.89,0.39,1597,NETBANKING,1,61.5,0,24.6,LOW,ALLOW,No major risk signals
TXN000124,12146,395.49,20,0,1246,0,80,2,0,893.91,0.44,904,UPI,0,37.34,0,14.93,LOW,ALLOW,No major risk signals
TXN000125,12731,515.88,6,0,539,0,79,0,0,1093.4,0.47,1805,NETBANKING,0,24.73,0,9.89,LOW,ALLOW,No major risk signals
TXN000126,11895,932.75,0,0,217,1,127,0,1,164.84,5.62,127,CARD,0,8.6,30,21.44,LOW,ALLOW,Location change | High amount deviation
TXN000127,12773,1234.37,2,0,779,0,24,0,0,304.5,4.04,1591,UPI,0,13.21,15,14.28,LOW,ALLOW,High amount deviation
TXN000128,11570,634.22,10,0,357,0,15,2,1,189.32,3.33,166,CARD,0,18.35,7,11.54,LOW,ALLOW,Above-normal amount
TXN000129,10960,658.26,12,0,746,0,47,0,0,1151.24,0.57,1466,UPI,0,28.32,0,11.33,LOW,ALLOW,No major risk signals
TXN000130,12660,585.37,21,0,1158,0,15,1,1,340.25,1.72,1226,NETBANKING,0,60.44,0,24.18,LOW,ALLOW,No major risk signals
TXN000131,11485,2187.22,22,0,320,0,26,0,0,100.8,21.49,1641,UPI,0,15.41,20,18.16,LOW,ALLOW,Extreme amount deviation
TXN000132,12690,79.44,9,1,8,0,5,1,1,688.37,0.12,266,UPI,0,3.08,15,10.23,LOW,ALLOW,New device
TXN000133,11028,690.64,18,0,126,0,4,2,0,202.31,3.4,1869,CARD,0,30.47,7,16.39,LOW,ALLOW,Above-normal amount
TXN000134,10502,3338.37,3,0,521,0,35,0,0,227.07,14.64,477,UPI,0,11.43,20,16.57,LOW,ALLOW,Extreme amount deviation
TXN000135,12814,1393.6,21,1,5,0,45,1,0,206.55,6.71,708,CARD,0,33.15,40,37.26,LOW,ALLOW,New device | High amount deviation | New device + unusual amount
TXN000136,10397,2635.48,4,0,144,0,87,2,0,303.72,8.65,1265,NETBANKING,0,22.3,20,20.92,LOW,ALLOW,Extreme amount deviation
TXN000137,10870,159.32,10,0,339,0,38,1,0,684.63,0.23,775,CARD,0,14.85,0,5.94,LOW,ALLOW,No major risk signals
TXN000138,12842,312.34,8,0,580,0,37,1,0,867.76,0.36,430,CARD,0,40.78,0,16.31,LOW,ALLOW,No major risk signals
TXN000139,10392,1389.84,12,0,1163,0,41,1,1,521.26,2.66,1111,UPI,0,30.28,7,16.31,LOW,ALLOW,Above-normal amount
TXN000140,10206,3354.43,16,0,1245,0,87,1,0,1779.06,1.88,387,UPI,0,31.2,0,12.48,LOW,ALLOW,No major risk signals
TXN000141,11038,340.34,14,0,835,0,81,2,0,410.99,0.83,1725,NETBANKING,0,23.07,0,9.23,LOW,ALLOW,No major risk signals
TXN000142,11881,645.74,12,0,614,0,68,2,1,194.27,3.31,1281,UPI,0,17.11,7,11.04,LOW,ALLOW,Above-normal amount
TXN000143,12939,1263.0,20,0,141,0,67,1,1,668.25,1.89,384,UPI,1,69.66,0,27.86,LOW,ALLOW,No major risk signals
TXN000144,11484,261.22,10,0,1356,0,34,3,0,782.39,0.33,1879,WALLET,0,11.38,8,9.35,LOW,ALLOW,Elevated velocity
TXN000145,10863,1398.89,0,0,606,0,21,1,0,1207.61,1.16,1791,WALLET,0,24.66,0,9.87,LOW,ALLOW,No major risk signals
TXN000146,12790,92.36,7,1,11,0,68,0,1,540.33,0.17,521,WALLET,0,6.84,15,11.74,LOW,ALLOW,New device
TXN000147,10563,1364.31,22,0,1155,1,2080,0,0,1209.39,1.13,651,UPI,0,33.12,40,37.25,LOW,ALLOW,Location change | Very large distance | Location change + large distance
TXN000148,11020,385.36,4,0,344,0,44,3,0,421.8,0.91,1054,CARD,0,22.72,8,13.89,LOW,ALLOW,Elevated velocity
TXN000149,10095,613.72,21,0,223,0,5,0,0,155.68,3.92,806,CARD,0,26.0,7,14.6,LOW,ALLOW,Above-normal amount
TXN000150,11923,1562.59,15,0,1127,1,600,0,0,654.93,2.38,1109,CARD,0,37.63,22,28.25,LOW,ALLOW,Location change | Above-normal amount
TXN000151,11757,1313.12,3,0,1460,0,67,0,0,1340.06,0.98,1371,UPI,0,8.69,0,3.48,LOW,ALLOW,No major risk signals
TXN000152,12532,891.78,18,0,1345,1,1615,1,1,847.77,1.05,431,UPI,0,24.12,40,33.65,LOW,ALLOW,Location change | Very large distance | Location change + large distance
TXN000153,12278,2046.09,17,0,1237,0,44,2,0,1012.92,2.02,1705,UPI,0,36.03,7,18.61,LOW,ALLOW,Above-normal amount
TXN000154,12796,211.63,22,1,10,1,2021,3,0,901.17,0.23,1714,UPI,1,94.58,73,81.63,HIGH,MANUAL REVIEW,New device | Location change | Elevated velocity | Very large distance | New device + location change | Location change + large distance
TXN000155,11678,1068.22,1,0,1152,0,72,0,1,804.3,1.33,799,NETBANKING,0,34.09,0,13.64,LOW,ALLOW,No major risk signals
TXN000156,10540,458.68,12,0,554,0,78,2,1,651.58,0.7,493,CARD,0,17.6,0,7.04,LOW,ALLOW,No major risk signals
TXN000157,11059,1959.27,15,0,1008,0,48,0,0,211.44,9.22,435,UPI,0,25.76,20,22.3,LOW,ALLOW,Extreme amount deviation
TXN000158,12572,1610.03,21,0,640,0,51,0,0,164.83,9.71,149,CARD,0,16.84,20,18.74,LOW,ALLOW,Extreme amount deviation
TXN000159,11183,1660.45,7,0,849,1,1575,1,0,596.53,2.78,1346,UPI,0,24.63,47,38.05,LOW,ALLOW,Location change | Above-normal amount | Very large distance | Location change + large distance
TXN000160,11722,3635.76,18,0,955,0,49,1,0,213.01,16.99,478,UPI,0,28.58,20,23.43,LOW,ALLOW,Extreme amount deviation
TXN000161,11819,2338.81,2,0,681,0,57,1,0,342.63,6.81,529,CARD,0,25.53,15,19.21,LOW,ALLOW,High amount deviation
TXN000162,12625,785.4,18,0,233,0,14,2,0,733.58,1.07,1189,UPI,0,25.46,0,10.18,LOW,ALLOW,No major risk signals
TXN000163,12729,896.88,16,0,434,0,0,1,0,590.97,1.52,834,UPI,0,32.18,0,12.87,LOW,ALLOW,No major risk signals
TXN000164,12604,1496.37,8,1,0,0,73,6,0,245.04,6.08,1214,CARD,0,73.0,60,65.2,MEDIUM,STEP-UP VERIFICATION,New device | High velocity | High amount deviation | New device + unusual amount
TXN000165,11597,1008.03,20,0,1371,0,73,2,1,1116.48,0.9,1759,CARD,0,44.56,0,17.83,LOW,ALLOW,No major risk signals
TXN000166,12693,1635.0,20,0,1429,1,1987,0,0,739.74,2.21,213,UPI,0,39.26,47,43.9,MEDIUM,STEP-UP VERIFICATION,Location change | Above-normal amount | Very large distance | Location change + large distance
TXN000167,10795,134.86,22,0,249,0,58,1,0,123.47,1.08,762,UPI,1,75.78,0,30.31,LOW,ALLOW,No major risk signals
TXN000168,11051,4441.21,16,0,1402,0,41,1,0,1120.64,3.96,1562,WALLET,0,3.75,7,5.7,LOW,ALLOW,Above-normal amount
TXN000169,11643,945.65,0,0,1476,0,80,0,0,445.6,2.12,1310,CARD,0,4.63,7,6.05,LOW,ALLOW,Above-normal amount
TXN000170,11363,226.08,3,0,1286,0,12,2,0,232.71,0.97,572,UPI,0,29.26,0,11.71,LOW,ALLOW,No major risk signals
TXN000171,11981,412.93,22,0,329,0,67,2,0,939.68,0.44,912,UPI,0,53.77,0,21.51,LOW,ALLOW,No major risk signals
TXN000172,11354,146.95,14,0,1040,0,19,1,1,716.11,0.2,1990,NETBANKING,1,82.97,0,33.19,LOW,ALLOW,No major risk signals
TXN000173,11663,355.42,11,0,1185,0,36,1,0,246.69,1.43,733,NETBANKING,0,8.89,0,3.56,LOW,ALLOW,No major risk signals
TXN000174,11529,795.59,16,0,949,0,78,1,0,810.54,0.98,1005,UPI,0,45.47,0,18.19,LOW,ALLOW,No major risk signals
TXN000175,12038,3253.57,11,0,455,0,49,2,0,665.96,4.88,1021,CARD,0,42.04,15,25.81,LOW,ALLOW,High amount deviation
TXN000176,11496,1272.93,15,0,664,0,34,2,1,737.13,1.72,1599,UPI,0,26.08,0,10.43,LOW,ALLOW,No major risk signals
TXN000177,12237,1094.37,12,0,974,0,22,2,0,502.29,2.17,434,UPI,0,22.12,7,13.05,LOW,ALLOW,Above-normal amount
TXN000178,11408,342.12,10,0,1007,0,94,0,0,186.84,1.82,1861,UPI,0,7.12,0,2.85,LOW,ALLOW,No major risk signals
TXN000179,11400,445.5,14,0,263,0,78,0,0,557.71,0.8,1589,UPI,0,23.63,0,9.45,LOW,ALLOW,No major risk signals
TXN000180,11306,475.85,15,0,119,0,14,2,0,664.06,0.72,1366,UPI,0,20.6,0,8.24,LOW,ALLOW,No major risk signals
TXN000181,12680,492.65,5,0,1033,0,27,1,1,413.9,1.19,1778,UPI,0,40.64,0,16.26,LOW,ALLOW,No major risk signals
TXN000182,12675,665.94,10,0,788,0,91,2,0,659.21,1.01,1062,WALLET,0,37.43,0,14.97,LOW,ALLOW,No major risk signals
