transaction_id,customer_id,amount,transaction_hour,is_new_device,device_age_days,location_change,distance_from_last_transaction,transactions_last_10min,failed_attempts,avg_customer_amount,amount_deviation,customer_account_age_days,payment_method,fraud,ml_score,behavioural_score,risk_score,risk_level
TXN000913,11335,2512.66,2,0,1123,0,41,0,1,814.58,3.08,1041,UPI,0,23.07,7,13.43,LOW
TXN005212,10047,1686.12,17,0,256,1,1924,1,2,970.24,1.74,367,CARD,1,23.63,48,38.25,LOW
TXN011750,10493,496.07,20,0,427,0,14,1,1,333.62,1.48,660,UPI,0,51.36,0,20.55,LOW
TXN011702,11272,424.5,8,0,994,1,784,2,0,294.96,1.43,1628,NETBANKING,0,26.62,35,31.65,LOW
TXN006787,11335,1462.17,20,0,1284,0,69,0,0,468.6,3.11,110,UPI,1,60.57,7,28.43,LOW
TXN008863,11096,440.84,5,1,2,0,57,1,2,1290.55,0.34,1477,UPI,0,27.25,23,24.7,LOW
TXN005969,10844,1733.77,9,0,248,0,66,1,0,463.94,3.73,671,NETBANKING,0,50.67,7,24.47,LOW
TXN005707,10607,426.73,12,0,592,1,1536,1,1,283.96,1.5,947,UPI,0,17.74,40,31.1,LOW
TXN008717,10832,2482.76,23,0,852,0,66,2,2,1123.13,2.21,1406,NETBANKING,0,30.64,15,21.26,LOW
TXN000082,11275,194.68,2,0,583,0,35,0,0,356.13,0.55,1098,CARD,0,22.9,0,9.16,LOW
TXN008056,11114,2910.17,9,0,380,0,82,1,0,190.17,15.22,758,WALLET,0,31.99,20,24.8,LOW
TXN008038,12209,2522.9,7,0,938,0,62,0,0,206.24,12.17,1177,CARD,0,12.21,20,16.89,LOW
TXN001082,11772,4093.48,7,0,809,0,40,2,0,1468.27,2.79,1114,UPI,0,12.67,7,9.27,LOW
TXN008679,11429,1348.67,11,1,10,0,20,1,0,119.43,11.2,1084,UPI,1,98.61,45,66.44,MEDIUM
TXN011077,10456,466.77,20,0,569,0,77,0,0,970.83,0.48,86,CARD,0,55.05,0,22.02,LOW
TXN003593,10908,314.92,2,0,35,0,84,2,1,530.75,0.59,240,UPI,0,8.62,0,3.45,LOW
TXN009627,11659,954.58,8,1,7,1,733,2,0,226.4,4.2,1587,NETBANKING,1,71.57,85,79.63,HIGH
TXN011079,10272,1677.77,19,0,809,0,13,3,0,620.62,2.7,1404,CARD,0,21.35,15,17.54,LOW
TXN009802,11664,639.43,22,1,19,0,65,1,0,2327.05,0.27,1397,CARD,0,9.12,15,12.65,LOW
TXN003641,10694,330.01,11,1,11,0,93,3,1,744.7,0.44,981,NETBANKING,0,7.6,23,16.84,LOW
TXN007965,10991,317.85,1,0,1104,0,58,2,1,127.95,2.46,1643,NETBANKING,0,8.08,7,7.43,LOW
TXN001523,10813,483.27,11,0,297,1,2062,3,3,271.81,1.77,989,UPI,1,94.68,63,75.67,HIGH
TXN011864,12883,1244.99,19,0,85,0,55,3,1,264.13,4.7,1074,UPI,0,52.03,23,34.61,LOW
TXN010887,11758,911.44,7,0,1291,0,94,0,0,314.64,2.89,328,UPI,1,11.86,7,8.94,LOW
TXN007592,10070,1169.96,21,0,186,0,63,1,0,1082.59,1.08,1575,CARD,0,44.76,0,17.91,LOW
TXN004102,10085,1197.27,6,0,717,0,86,0,0,315.66,3.78,975,CARD,0,40.55,7,20.42,LOW
TXN008141,10446,342.76,10,0,181,0,5,0,1,691.87,0.49,666,WALLET,0,16.93,0,6.77,LOW
TXN005009,10900,314.3,20,0,1078,0,24,1,0,212.96,1.47,859,CARD,0,32.29,0,12.92,LOW
TXN007617,10657,556.91,14,0,247,0,90,0,0,827.72,0.67,879,UPI,0,35.82,0,14.33,LOW
TXN007241,10300,521.21,10,0,1213,0,92,5,0,228.75,2.27,1113,NETBANKING,0,13.71,27,21.68,LOW
TXN005145,11116,582.99,19,0,637,0,95,2,1,99.7,5.79,1389,NETBANKING,0,6.8,15,11.72,LOW
TXN003379,11800,637.16,9,0,204,1,2027,0,1,668.01,0.95,571,WALLET,0,25.39,40,34.15,LOW
TXN000260,12520,642.58,19,0,1164,0,74,1,1,145.31,4.39,878,CARD,0,16.66,15,15.66,LOW
TXN004830,12952,6422.24,16,0,1076,0,91,1,1,411.25,15.58,269,UPI,0,13.34,20,17.34,LOW
TXN009580,10339,1195.5,8,0,1307,0,89,1,0,222.78,5.34,373,CARD,0,14.22,15,14.69,LOW
TXN000375,10625,3783.79,16,0,461,0,81,1,0,123.65,30.36,871,NETBANKING,1,12.6,20,17.04,LOW
TXN003758,11693,1707.6,8,0,357,0,82,2,0,408.01,4.17,807,NETBANKING,0,25.11,15,19.04,LOW
TXN000592,10143,1184.07,2,0,775,0,97,0,0,1104.08,1.07,1878,WALLET,0,22.89,0,9.16,LOW
TXN004331,11293,1141.0,8,0,1267,1,2282,3,2,493.97,2.31,1046,CARD,1,94.88,63,75.75,HIGH
TXN002409,10261,406.75,16,0,429,0,27,2,1,415.21,0.98,251,UPI,0,19.71,0,7.89,LOW
TXN007983,10472,1019.3,19,0,545,0,66,0,1,949.41,1.07,566,UPI,0,45.28,0,18.11,LOW
TXN010186,10939,1861.89,20,0,507,0,96,2,0,348.92,5.32,719,UPI,1,28.75,15,20.5,LOW
TXN011557,10646,3910.55,0,1,14,0,83,1,0,373.64,10.44,1084,CARD,1,99.02,45,66.61,MEDIUM
TXN001314,11308,3598.4,22,1,17,0,25,0,1,293.96,12.2,772,NETBANKING,1,97.07,45,65.83,MEDIUM
TXN003138,10189,792.4,9,0,937,0,41,1,0,521.29,1.52,696,WALLET,0,40.09,0,16.04,LOW
TXN010748,12422,965.32,19,0,972,1,434,1,0,949.51,1.02,865,UPI,0,31.23,15,21.49,LOW
TXN002146,10454,552.32,4,0,1474,0,80,2,0,330.87,1.66,1705,UPI,0,13.95,0,5.58,LOW
TXN008444,12673,2881.57,16,0,1495,0,79,4,0,368.26,7.8,898,UPI,0,27.88,28,27.95,LOW
TXN001641,11324,1573.97,13,1,16,1,1155,0,0,455.64,3.45,700,WALLET,0,49.1,67,59.84,MEDIUM
TXN011328,12517,983.26,8,0,210,0,80,4,1,603.26,1.63,1392,UPI,0,28.49,8,16.2,LOW
TXN003917,12915,617.93,23,0,1059,0,88,2,0,524.53,1.18,1839,UPI,0,24.91,0,9.96,LOW
TXN005303,10780,1647.71,12,0,379,0,94,0,0,457.15,3.6,1221,WALLET,0,19.76,7,12.1,LOW
TXN011726,11257,506.33,23,0,517,0,77,1,0,590.68,0.86,708,UPI,0,43.27,0,17.31,LOW
TXN003957,10972,4010.64,13,0,1406,0,15,2,0,1596.61,2.51,1837,CARD,0,5.63,7,6.45,LOW
TXN000978,10758,210.67,7,0,1426,0,2,1,1,402.19,0.52,1821,UPI,0,13.09,0,5.23,LOW
TXN010587,11180,594.94,9,0,725,0,2,0,0,505.1,1.18,1023,UPI,0,23.0,0,9.2,LOW
TXN009213,10763,690.16,0,0,559,0,2,2,1,126.64,5.41,702,UPI,0,20.72,15,17.29,LOW
TXN000527,11440,1615.32,13,0,52,0,72,1,1,347.75,4.63,698,WALLET,0,46.35,15,27.54,LOW
TXN006672,10066,2003.95,9,0,818,0,68,2,1,328.48,6.08,1831,WALLET,0,30.85,15,21.34,LOW
TXN004997,10572,453.22,10,0,762,1,1224,2,0,190.75,2.36,1381,WALLET,1,20.99,42,33.6,LOW
TXN004958,11698,1566.04,0,0,86,0,53,0,1,497.79,3.14,204,WALLET,0,36.75,7,18.9,LOW
TXN009069,12427,1019.44,4,0,810,0,42,0,0,284.64,3.57,1865,UPI,0,21.85,7,12.94,LOW
TXN008324,11126,657.26,0,0,650,0,87,1,0,681.25,0.96,541,UPI,0,36.15,0,14.46,LOW
TXN008315,10114,714.91,10,0,1091,0,25,0,0,1164.76,0.61,1771,UPI,0,27.55,0,11.02,LOW
TXN009185,12491,724.8,23,0,1216,0,87,1,0,456.25,1.59,1385,UPI,0,17.99,0,7.2,LOW
TXN002157,10735,478.44,7,0,925,0,85,0,0,705.0,0.68,1744,UPI,0,16.69,0,6.68,LOW
TXN009910,10849,785.0,10,0,162,0,39,1,0,502.69,1.56,77,CARD,0,29.26,0,11.7,LOW
TXN004613,12761,1173.49,3,0,519,0,75,2,0,1136.76,1.03,1023,UPI,0,46.34,0,18.53,LOW
TXN011724,11673,3159.49,0,0,257,0,76,0,1,371.91,8.47,1665,UPI,0,28.2,20,23.28,LOW
TXN000583,12492,938.71,16,0,610,0,19,5,1,488.73,1.92,1534,UPI,0,25.42,20,22.17,LOW
TXN000164,12604,1496.37,8,1,0,0,73,6,0,245.04,6.08,1214,CARD,0,73.0,60,65.2,MEDIUM
TXN005670,10757,301.14,8,0,496,0,75,1,1,1133.15,0.27,783,NETBANKING,0,45.04,0,18.02,LOW
TXN005035,11205,255.61,9,0,1259,0,69,4,0,243.24,1.05,230,UPI,0,13.05,8,10.02,LOW
TXN007196,12385,1028.37,8,0,362,0,70,0,1,390.26,2.63,1690,UPI,0,21.8,7,12.92,LOW
TXN008103,11449,312.35,17,0,557,0,96,2,0,111.88,2.77,1114,UPI,0,20.33,7,12.33,LOW
TXN009722,11445,3677.88,23,0,776,0,5,1,0,197.73,18.51,95,UPI,0,21.0,20,20.4,LOW
TXN005701,12966,993.8,11,0,1169,0,11,2,0,315.89,3.14,1511,UPI,0,63.58,7,29.63,LOW
TXN008525,10810,646.32,11,0,213,0,63,3,0,276.56,2.33,1547,UPI,0,39.39,15,24.75,LOW
TXN007851,11099,405.58,0,0,1112,0,48,0,0,362.79,1.11,1041,CARD,0,24.88,0,9.95,LOW
TXN009728,11395,50.44,2,0,1186,0,95,0,1,473.49,0.11,1675,UPI,0,4.51,0,1.8,LOW
TXN009444,12365,213.41,4,0,1219,0,36,0,1,289.97,0.73,24,CARD,0,10.03,0,4.01,LOW
TXN002777,11404,1212.0,17,0,638,0,78,2,1,360.0,3.36,1276,CARD,0,23.72,7,13.69,LOW
TXN008406,12258,893.33,5,0,257,0,96,0,0,606.59,1.47,231,NETBANKING,0,27.14,0,10.86,LOW
TXN006132,12235,1078.1,6,0,786,0,24,0,1,265.7,4.04,492,UPI,0,40.08,15,25.03,LOW
TXN011377,11234,896.97,20,0,1360,0,26,1,1,465.15,1.92,182,NETBANKING,0,40.91,0,16.36,LOW
TXN011050,12015,200.5,21,0,1390,0,3,1,1,205.7,0.97,204,UPI,0,23.43,0,9.37,LOW
TXN009831,12212,1128.06,8,0,983,0,94,5,0,327.22,3.44,547,WALLET,0,45.81,27,34.53,LOW
TXN011193,12340,434.96,8,0,1312,0,71,0,0,574.21,0.76,1012,UPI,0,33.35,0,13.34,LOW
TXN003801,12256,1290.34,4,0,1419,1,1708,1,0,186.68,6.88,1322,UPI,0,7.7,55,36.08,LOW
TXN003246,12723,316.01,2,0,1051,0,39,0,1,304.29,1.04,1886,NETBANKING,0,16.07,0,6.43,LOW
TXN004604,12981,563.18,3,0,1199,1,2329,2,0,246.27,2.28,372,CARD,0,11.36,47,32.74,LOW
TXN002644,11613,739.83,21,0,91,0,81,0,0,373.61,1.97,412,CARD,0,32.61,0,13.04,LOW
TXN007874,11607,889.57,23,0,999,0,17,1,0,195.49,4.53,628,UPI,0,31.89,15,21.76,LOW
TXN010204,11543,768.64,13,0,942,0,14,1,0,650.13,1.18,1108,WALLET,0,34.77,0,13.91,LOW
TXN002767,11997,617.4,16,0,190,0,48,0,0,1046.11,0.59,1210,NETBANKING,0,33.25,0,13.3,LOW
TXN000798,10388,813.95,11,0,578,0,24,1,1,557.44,1.46,30,CARD,0,44.67,0,17.87,LOW
TXN007139,10100,1087.25,21,0,849,0,84,0,1,993.47,1.09,1105,UPI,0,40.05,0,16.02,LOW
TXN005509,10344,5750.77,8,0,358,0,89,0,2,216.09,26.49,1830,NETBANKING,0,3.02,28,18.01,LOW
TXN002526,11764,2453.59,15,0,570,0,66,1,1,535.42,4.57,1632,CARD,1,20.41,15,17.16,LOW
TXN005532,11802,2490.95,20,0,432,0,78,1,2,790.16,3.15,1467,CARD,1,36.98,15,23.79,LOW
TXN002621,12546,2222.52,16,0,1177,0,7,1,0,633.42,3.5,1931,NETBANKING,0,44.13,7,21.85,LOW
TXN006740,10110,1171.87,5,0,1096,1,1901,0,1,239.58,4.87,1431,CARD,0,10.32,55,37.13,LOW
TXN005957,12229,615.85,7,0,594,0,23,3,0,508.55,1.21,390,UPI,0,15.7,8,11.08,LOW
TXN009085,12147,270.88,14,0,448,0,60,0,0,902.72,0.3,21,UPI,0,55.25,0,22.1,LOW
TXN011699,12268,2698.46,13,0,1256,0,9,1,0,481.32,5.59,1214,UPI,0,36.46,15,23.58,LOW
TXN002580,10424,1387.77,4,0,505,0,9,2,0,594.66,2.33,488,CARD,0,30.35,7,16.34,LOW
TXN002114,10344,1917.67,15,0,277,0,27,0,1,508.42,3.76,515,WALLET,0,24.35,7,13.94,LOW
TXN004437,11518,707.17,13,0,1179,0,65,3,1,453.53,1.56,1398,UPI,0,17.13,8,11.65,LOW
TXN001071,12317,244.29,6,0,783,0,60,0,0,289.27,0.84,1688,UPI,0,20.09,0,8.03,LOW
TXN008836,10515,1335.07,2,0,95,0,84,0,0,156.59,8.47,389,NETBANKING,0,12.15,20,16.86,LOW
TXN007674,12864,1199.91,1,0,268,0,8,1,1,489.56,2.45,13,WALLET,0,21.27,7,12.71,LOW
TXN006810,10382,827.91,7,1,4,0,70,0,0,144.47,5.69,317,WALLET,0,25.18,40,34.07,LOW
TXN005031,11448,1754.36,14,0,255,0,35,1,0,626.87,2.79,1886,UPI,0,46.89,7,22.96,LOW
TXN001496,11121,515.11,14,0,1442,0,73,0,0,456.38,1.13,1998,CARD,0,11.89,0,4.76,LOW
TXN005076,10925,703.19,17,0,685,0,13,2,1,79.91,8.69,1744,UPI,0,8.91,20,15.56,LOW
TXN004568,10389,918.31,2,1,2,0,73,2,0,225.03,4.06,489,UPI,0,40.56,40,40.22,MEDIUM
TXN006538,10918,249.05,13,0,344,0,79,2,0,864.94,0.29,126,UPI,0,39.73,0,15.89,LOW
TXN008812,11624,2000.78,5,0,611,0,7,2,2,487.72,4.09,1992,CARD,1,20.98,23,22.19,LOW
TXN006306,10581,1600.29,6,0,437,0,31,1,0,284.07,5.61,1702,UPI,0,15.67,15,15.27,LOW
TXN011199,10426,1142.04,12,0,411,0,47,0,0,612.89,1.86,1767,UPI,0,23.82,0,9.53,LOW
TXN008645,11074,213.61,7,0,1274,0,88,1,0,236.72,0.9,1909,CARD,0,17.95,0,7.18,LOW
TXN006268,12339,1833.87,2,0,79,0,19,0,0,426.91,4.29,338,CARD,0,14.52,15,14.81,LOW
TXN005475,10851,930.34,21,1,9,0,12,3,0,1399.2,0.66,1262,CARD,0,4.3,23,15.52,LOW
TXN007239,10198,1580.12,7,0,639,0,8,0,1,802.2,1.97,55,UPI,0,24.21,0,9.68,LOW
TXN008099,11882,733.92,4,0,165,0,72,0,0,245.5,2.98,256,CARD,0,21.88,7,12.95,LOW
TXN001395,10692,847.21,11,0,296,0,40,2,0,322.43,2.62,1447,CARD,0,22.01,7,13.01,LOW
TXN008155,10580,1581.49,13,0,1385,0,20,2,0,609.44,2.59,430,UPI,0,26.01,7,14.6,LOW
TXN005472,10669,1235.11,10,0,955,1,880,3,1,306.3,4.02,1434,UPI,1,85.73,58,69.09,MEDIUM
TXN002015,10300,242.14,5,0,351,0,94,1,0,365.07,0.66,273,CARD,0,8.21,0,3.28,LOW
TXN001332,11757,1155.44,21,0,721,0,86,0,0,227.83,5.05,1223,UPI,0,28.74,15,20.49,LOW
TXN003657,11710,1528.54,9,0,767,0,97,0,1,200.2,7.6,1037,NETBANKING,1,8.94,20,15.58,LOW
TXN009757,11231,1403.49,0,0,1195,0,76,2,0,1161.8,1.21,1648,WALLET,0,16.4,0,6.56,LOW
TXN008524,11221,1071.05,23,0,1463,0,77,2,0,426.4,2.51,1635,UPI,0,28.04,7,15.41,LOW
TXN004525,11023,1032.64,10,1,11,0,57,2,0,1507.65,0.68,388,UPI,0,10.86,15,13.34,LOW
TXN003132,10587,7270.93,7,0,319,1,1964,2,0,891.0,8.15,229,WALLET,0,14.32,60,41.73,MEDIUM
TXN009998,11377,584.29,4,0,159,0,89,0,0,298.0,1.95,1895,CARD,0,19.53,0,7.81,LOW
TXN002323,12472,1277.88,9,0,192,0,47,1,0,292.25,4.36,478,UPI,0,42.18,15,25.87,LOW
TXN002110,12791,506.43,11,0,1171,0,25,2,1,351.36,1.44,150,CARD,0,23.51,0,9.41,LOW
TXN000845,11906,782.86,9,0,748,0,78,3,0,447.7,1.74,1964,WALLET,0,23.26,8,14.1,LOW
TXN000979,12946,1537.76,3,0,87,1,1423,1,0,495.19,3.1,277,UPI,0,22.44,42,34.18,LOW
TXN006020,12361,815.65,15,0,216,0,36,3,0,731.47,1.11,1922,WALLET,0,34.76,8,18.71,LOW
TXN006708,12918,1413.74,3,0,480,0,0,1,0,138.41,10.14,401,CARD,0,7.76,20,15.11,LOW
TXN006825,11808,1217.59,14,0,1039,0,44,1,0,449.15,2.7,384,NETBANKING,0,45.64,7,22.46,LOW
TXN000936,10125,349.44,13,0,966,0,12,0,1,282.4,1.23,1687,CARD,0,20.2,0,8.08,LOW
TXN005220,12535,378.28,18,0,948,0,53,2,2,641.95,0.59,621,CARD,1,18.52,8,12.21,LOW
TXN010036,10667,383.1,2,0,548,0,5,1,0,109.37,3.47,828,CARD,0,19.91,7,12.16,LOW
TXN005414,11378,436.57,11,0,815,0,69,2,2,891.36,0.49,488,UPI,0,50.5,8,25.0,LOW
TXN004182,12838,202.01,16,0,593,0,37,0,0,1113.74,0.18,1860,CARD,0,32.48,0,12.99,LOW
TXN009236,12320,361.32,8,0,1183,0,55,2,1,244.09,1.47,639,WALLET,0,9.69,0,3.88,LOW
TXN001111,11471,1071.83,15,0,952,0,85,1,1,273.87,3.9,933,UPI,0,26.19,7,14.68,LOW
TXN002489,11079,2695.57,17,0,590,0,10,1,0,831.28,3.24,828,UPI,0,15.49,7,10.39,LOW
TXN011226,11755,4497.05,17,0,977,0,42,2,0,735.53,6.11,1138,UPI,0,10.3,15,13.12,LOW
TXN008024,12087,427.71,1,0,1123,0,32,1,0,625.89,0.68,242,UPI,0,14.16,0,5.66,LOW
TXN011198,10621,254.69,10,0,558,1,1074,0,0,1314.15,0.19,1412,CARD,0,32.05,35,33.82,LOW
TXN006555,10681,972.22,22,0,502,0,38,1,2,501.61,1.93,92,NETBANKING,0,22.97,8,13.99,LOW
TXN010697,11749,1248.13,3,0,802,0,3,0,0,369.69,3.37,1484,CARD,0,28.39,7,15.56,LOW
TXN010382,11748,956.77,5,1,17,0,91,1,0,577.42,1.65,261,NETBANKING,0,18.76,15,16.5,LOW
TXN003945,11524,597.61,5,0,1304,0,80,3,0,291.13,2.05,38,CARD,0,8.92,15,12.57,LOW
TXN010789,12289,608.18,4,0,910,0,37,0,0,762.71,0.8,1598,UPI,0,28.38,0,11.35,LOW
TXN007815,11574,280.45,12,0,1001,1,919,1,0,370.27,0.76,726,UPI,0,44.23,35,38.69,LOW
TXN003328,12007,569.76,5,0,777,0,1,1,0,1072.33,0.53,41,UPI,0,28.51,0,11.4,LOW
TXN007964,10324,1217.66,10,0,1108,0,78,2,0,691.35,1.76,388,UPI,0,32.12,0,12.85,LOW
TXN004314,12156,3090.73,21,1,0,0,22,2,1,1291.53,2.39,430,WALLET,0,16.36,22,19.75,LOW
TXN004406,11415,321.22,23,1,10,0,84,2,1,432.94,0.74,706,UPI,0,17.12,15,15.85,LOW
TXN005706,11913,4285.83,11,0,1063,0,30,1,0,422.43,10.12,1697,CARD,0,14.18,20,17.67,LOW
TXN004336,12775,435.97,16,0,1162,0,59,2,1,466.16,0.93,462,UPI,1,23.57,0,9.43,LOW
TXN001521,11631,2628.78,22,0,880,0,82,2,0,547.58,4.79,550,NETBANKING,0,20.83,15,17.33,LOW
TXN011115,11871,185.99,22,0,821,1,995,1,2,684.48,0.27,303,NETBANKING,0,25.2,43,35.88,LOW
TXN008952,11258,2056.0,5,0,232,0,50,3,0,833.31,2.46,1888,CARD,0,59.46,15,32.79,LOW
TXN004625,10195,199.14,16,0,806,0,1,2,0,1573.92,0.13,1618,CARD,0,3.68,0,1.47,LOW
TXN003452,11935,802.15,10,0,1138,0,57,0,0,3141.81,0.26,1620,UPI,0,18.9,0,7.56,LOW
TXN001163,10362,774.17,20,0,1252,0,46,3,1,650.13,1.19,688,CARD,0,26.36,8,15.34,LOW
TXN001963,12913,5439.02,23,0,1413,0,76,1,0,265.21,20.43,718,CARD,0,38.58,20,27.43,LOW
TXN004146,11792,1106.12,4,0,242,1,394,1,0,798.16,1.38,1935,UPI,0,20.43,15,17.17,LOW
TXN001909,10808,459.52,23,0,516,0,79,3,0,594.35,0.77,1398,NETBANKING,0,24.98,8,14.79,LOW
TXN004435,10218,1108.78,8,0,311,0,48,0,0,568.14,1.95,1207,UPI,1,34.35,0,13.74,LOW
TXN008130,11465,2562.45,20,0,945,0,96,1,1,384.7,6.64,52,CARD,0,26.64,15,19.65,LOW
TXN004936,10454,91.97,8,0,621,0,32,1,0,311.84,0.29,1408,UPI,0,41.11,0,16.44,LOW
TXN003405,12150,1530.4,9,0,588,0,59,0,0,572.77,2.67,300,CARD,0,40.67,7,20.47,LOW
TXN010008,11646,956.38,15,0,1143,0,79,0,0,294.2,3.24,1619,UPI,0,19.76,7,12.1,LOW
TXN001173,12935,311.98,14,0,304,0,84,1,1,1984.64,0.16,1496,UPI,0,6.3,0,2.52,LOW
TXN011603,12198,1678.21,7,0,263,0,20,1,0,634.32,2.64,837,UPI,0,16.66,7,10.86,LOW
TXN005108,12413,128.73,20,0,645,0,93,1,1,192.62,0.66,102,WALLET,0,13.01,0,5.2,LOW
TXN011364,10684,1814.1,12,0,150,0,30,0,1,256.99,7.03,1553,UPI,0,21.33,20,20.53,LOW
TXN000964,11312,1420.86,17,0,1467,0,60,3,0,735.41,1.93,292,WALLET,0,42.08,8,21.63,LOW
TXN007373,11031,890.86,0,0,579,0,86,1,1,628.81,1.41,13,CARD,0,39.56,0,15.82,LOW
TXN001060,10375,58.34,12,0,1461,0,76,2,0,478.81,0.12,690,UPI,0,17.02,0,6.81,LOW
TXN006395,11714,884.33,21,1,6,0,10,2,1,267.78,3.29,1422,UPI,0,47.04,22,32.01,LOW
TXN010217,12542,290.78,0,0,306,0,95,0,0,1646.69,0.18,583,UPI,0,30.64,0,12.25,LOW
TXN005599,11015,176.14,16,0,794,0,24,0,0,547.76,0.32,743,UPI,0,27.13,0,10.85,LOW
TXN004819,12621,321.73,3,0,1163,0,90,1,1,463.85,0.69,1530,UPI,0,16.41,0,6.56,LOW
TXN005162,10010,246.84,7,0,44,0,11,1,1,282.91,0.87,1434,UPI,0,48.02,0,19.21,LOW
TXN007558,10254,3613.19,23,0,768,0,64,1,0,964.75,3.74,416,WALLET,0,32.63,7,17.25,LOW
TXN006611,11935,673.93,15,0,1383,0,64,0,0,262.59,2.56,1185,NETBANKING,0,25.23,7,14.29,LOW
TXN001063,11570,966.96,9,0,1454,0,96,0,1,297.13,3.24,1684,CARD,0,18.51,7,11.61,LOW
TXN009493,11318,291.23,5,0,1175,1,216,1,0,1033.11,0.28,1723,NETBANKING,0,40.93,15,25.37,LOW
TXN009689,10301,874.81,4,0,80,1,2047,0,2,622.41,1.4,1969,NETBANKING,0,29.52,48,40.61,MEDIUM
TXN007931,11219,420.28,23,1,17,0,82,2,0,498.62,0.84,1263,NETBANKING,0,14.31,15,14.72,LOW
TXN005283,12686,1315.2,21,0,1330,0,82,2,0,431.88,3.04,1034,UPI,0,39.27,7,19.91,LOW
TXN002075,11274,3855.94,22,0,791,0,13,2,1,629.28,6.12,198,WALLET,0,24.06,15,18.62,LOW
TXN010705,12121,976.67,7,0,980,0,13,1,1,556.66,1.75,1460,CARD,0,37.64,0,15.05,LOW
TXN007826,11687,411.45,7,1,18,0,86,0,0,168.25,2.43,1836,CARD,1,17.45,22,20.18,LOW
TXN002836,11651,2534.28,14,0,920,0,81,3,0,669.84,3.78,57,WALLET,0,38.52,15,24.41,LOW
TXN010907,10997,345.51,20,0,599,0,61,0,2,273.34,1.26,1781,UPI,0,20.3,8,12.92,LOW
TXN002997,10587,663.53,13,0,1072,0,69,1,1,434.28,1.52,819,UPI,0,35.92,0,14.37,LOW
TXN004023,11589,375.92,5,0,342,0,49,2,0,809.43,0.46,438,UPI,0,12.59,0,5.03,LOW
